freq,phi
10,1.6336281799
50,1.5079644737
100,1.5707963268
200,1.5079644737
800,1.2566370614
1200,1.1158937106
2000,0.8293804605
2400,0.6635043684
3200,0.4021238597
3600,0.2714336053
3800,0.1671327292
4000,0.1507964474
4200,0.1055575132
4400,0.0829380461
4600,0.0578053048
4800,-0.0904778684
5000,-0.1256637061
5200,-0.1960353816
5400,-0.2375044046
5800,-0.2915397983
6200,-0.3506017401
7000,-0.4398229715
7400,-0.6044424266
8200,-0.7213096733
8600,-0.6484247237
9400,-0.7678052445
10000,-0.8168140899
15000,-1.0555751316
20000,-1.2566370614
30000,-1.3948671382
50000,-1.4451326207
100000,-1.6336281799
